pmac,pid
BE:28:A9:00:03:48,P469
BE:28:A9:00:03:43,P299
BE:28:A9:00:09:8E,P34
BE:28:A9:00:03:B2,P51
BE:28:A9:00:05:8B,P143
BE:28:A9:00:09:95,P407
BE:28:A9:00:05:74,P273
BE:28:A9:00:03:E9,P533
BE:28:A9:00:03:C5,P382
BE:28:A9:00:07:63,P399
BE:28:A9:00:07:84,P235
BE:28:A9:00:03:25,P226
BE:28:A9:00:07:85,P425
BE:28:A9:00:07:AF,P56
BE:28:25:00:04:0A,P31
BE:28:A9:00:03:D8,P212
BE:28:A9:00:00:A7,P501
BE:28:A9:00:02:D1,P158
BE:28:25:00:06:35,P460
BE:28:A9:00:03:3B,P240
BE:28:A9:00:07:46,P438
BE:28:A9:00:03:33,P63
BE:28:A9:00:00:CB,P495
BE:28:A9:00:07:62,P249
BE:28:A9:00:06:2C,P312
BE:28:A9:00:02:E2,P535
BE:28:A9:00:02:92,P379
BE:28:A9:00:06:35,P83
BE:28:A9:00:07:B9,P247
BE:28:A9:00:08:8D,P340
BE:28:A9:00:09:8F,P538
BE:28:A9:00:03:4C,P461
BE:28:A9:00:08:6F,P491
BE:28:A9:00:02:B8,P519
BE:28:A9:00:03:D7,P116
BE:28:A9:00:07:C0,P559
BE:28:A9:00:03:E7,P4
BE:28:A9:00:05:A4,P141
BE:28:A9:00:05:75,P342
BE:28:25:00:06:2D,P400
BE:28:A9:00:02:8F,P270
BE:28:A9:00:05:9E,P444
BE:28:A9:00:02:D4,P13
BE:28:A9:00:07:8F,P598
BE:28:25:00:06:41,P41
BE:28:A9:00:05:8D,P335
BE:28:A9:00:02:95,P387
BE:28:A9:00:05:63,P179
BE:28:A9:00:08:89,P573
BE:28:A9:00:02:A7,P92
BE:28:A9:00:05:90,P367
BE:28:A9:00:00:A1,P67
BE:28:A9:00:03:AB,P560
BE:28:A9:00:09:7F,P466
BE:28:A9:00:07:8B,P544
BE:28:A9:00:05:89,P263
BE:28:25:00:04:FA,P37
BE:28:A9:00:07:B6,P276
BE:28:A9:00:05:5E,P128
BE:28:A9:00:00:A6,P228
BE:28:A9:00:07:CD,P9
BE:28:A9:00:03:A9,P557
BE:28:A9:00:07:73,P193
BE:28:A9:00:00:B3,P112
BE:28:25:00:04:F8,P68
BE:28:A9:00:07:9C,P317
BE:28:A9:00:02:A4,P208
BE:28:A9:00:09:8B,P514
BE:28:A9:00:08:7C,P603
BE:28:A9:00:03:49,P373
BE:28:A9:00:03:A0,P110
BE:28:25:00:06:36,P52
BE:28:A9:00:08:73,P24
BE:28:A9:00:08:83,P404
BE:28:A9:00:02:A6,P26
BE:28:A9:00:06:3B,P139
BE:28:A9:00:02:CC,P347
BE:28:A9:00:08:E6,P239
BE:28:A9:00:07:44,P494
BE:28:A9:00:03:27,P383
BE:28:A9:00:07:78,P578
BE:28:A9:00:03:9A,P309
BE:28:A9:00:05:A9,P586
BE:28:A9:00:02:CE,P203
BE:28:A9:00:00:C7,P540
BE:28:A9:00:00:BC,P480
BE:28:A9:00:00:C3,P77
BE:28:A9:00:05:4B,P462
BE:28:A9:00:05:69,P510
BE:28:25:00:04:FF,P35
BE:28:A9:00:05:58,P396
BE:28:A9:00:07:81,P327
BE:28:A9:00:03:DB,P359
BE:28:A9:00:02:EE,P265
BE:28:A9:00:06:42,P189
BE:28:A9:00:08:F7,P375
BE:28:A9:00:02:96,P481
BE:28:A9:00:07:A0,P10
BE:28:A9:00:08:E8,P248
BE:28:A9:00:03:DE,P522
BE:28:A9:00:06:12,P73
BE:28:A9:00:03:B9,P165
BE:28:A9:00:07:58,P421
BE:28:A9:00:09:6D,P76
BE:28:A9:00:03:24,P370
BE:28:A9:00:08:DC,P246
BE:28:A9:00:07:C6,P418
BE:28:A9:00:08:E7,P580
BE:28:A9:00:03:DA,P527
BE:28:A9:00:03:8A,P516
BE:28:A9:00:07:70,P381
BE:28:A9:00:02:BA,P6
BE:28:A9:00:08:97,P251
BE:28:A9:00:06:14,P455
